frame_n,nano_sec,sec,size,compression rate,n_change,
127,44331400,0,119100336,0.693255,200,0.00443314
128,40217600,0,122848751,0.709531,200,0.00402176
129,42899600,0,126622197,0.725699,200,0.00428996
130,41257600,0,130420731,0.741763,200,0.00412576
131,37510600,0,134244154,0.757725,200,0.00375106
132,39699300,0,138092096,0.773584,200,0.00396993
133,41780000,0,141964358,0.789341,200,0.004178
134,47478900,0,145861879,0.805004,200,0.00474789
135,50648900,0,150598653,0.825035,200,0.00506489
136,46547100,0,155753731,0.847048,200,0.00465471
137,54011400,0,160737602,0.867818,200,0.00540114
138,48803600,0,165778760,0.888596,200,0.00488036
139,47149200,0,170811982,0.909035,200,0.00471492
140,51067400,0,176066445,0.930353,200,0.00510674
141,56945000,0,181178259,0.950622,200,0.0056945
142,47226900,0,186483353,0.971615,200,0.00472269
143,44726300,0,191616785,0.991428,200,0.00447263
144,66446600,0,196968215,1.01209,200,0.00664466
145,55818800,0,202185245,1.03178,200,0.00558188
146,49888200,0,207619932,1.05231,200,0.00498882
147,53046600,0,213046626,1.07251,200,0.00530466
148,52463800,0,218502504,1.0926,200,0.00524638
149,48287400,0,126651591,0.629085,200,0.00482874
150,56377700,0,130947277,0.646115,200,0.00563777
151,42137300,0,135268051,0.663043,200,0.00421373
152,45778400,0,139614283,0.679874,200,0.00457784
153,43458100,0,143985233,0.696606,200,0.00434581
154,50697300,0,148381271,0.713243,200,0.00506973
155,46484900,0,152802454,0.729787,200,0.00464849
156,41088300,0,157248668,0.746238,200,0.00410883
157,52382700,0,161719714,0.762599,200,0.00523827
158,74973800,0,166215649,0.77887,200,0.00749738
159,62956300,0,170736103,0.795052,200,0.00629563
160,44619600,0,175281389,0.811148,200,0.00446196
161,47502200,0,179851678,0.82716,200,0.00475022
162,50526700,0,185487524,0.847846,200,0.00505267
163,46989700,0,191148202,0.868393,200,0.00469897
164,61649600,0,196997097,0.889541,200,0.00616496
165,54379000,0,202903535,0.910692,200,0.0054379
166,39526600,0,208477941,0.930109,200,0.00395266
167,41306500,0,214236724,0.950112,200,0.00413065
168,40663100,0,220737338,0.973149,200,0.00406631
169,46833800,0,226579520,0.993029,200,0.00468338
170,49785500,0,232249784,1.01193,200,0.00497855
171,48005000,0,238305214,1.03227,200,0.0048005
172,45595400,0,244188868,1.05165,200,0.00455954
173,47446600,0,250125571,1.07102,200,0.00474466
174,44779200,0,256091401,1.0903,200,0.00447792
175,49787000,0,262048527,1.10933,200,0.0049787
176,70303300,0,268259918,1.1292,200,0.00703033
177,53789400,0,274266196,1.148,200,0.00537894
178,44810500,0,280325722,1.16681,200,0.00448105
179,51892800,0,170945536,0.70758,200,0.00518928
180,44742300,0,175984134,0.724411,200,0.00447423
181,54871400,0,181047308,0.741158,200,0.00548714
182,61746200,0,186135115,0.757822,200,0.00617462
183,45794600,0,191248209,0.774408,200,0.00457946
184,45234900,0,196385367,0.790911,200,0.00452349
185,53891400,0,201546646,0.807333,200,0.00538914
186,49808100,0,206732188,0.823676,200,0.00498081
187,45078500,0,211942562,0.839944,200,0.00450785
188,59502800,0,217177939,0.856138,200,0.00595028
189,63079600,0,223670617,0.877093,200,0.00630796
190,46713600,0,230188127,0.897924,200,0.00467136
191,51486500,0,236730526,0.918635,200,0.00514865
192,52841800,0,243493796,0.939985,200,0.00528418
193,48423900,0,250118058,0.96058,200,0.00484239
194,62287700,0,256930793,0.981684,200,0.00622877
195,63066100,0,263767535,1.00266,200,0.00630661
196,52085700,0,270431989,1.02278,200,0.00520857
197,55758400,0,277317485,1.04352,200,0.00557584
198,52546900,0,284063347,1.06354,200,0.00525469
199,54367800,0,290997881,1.08405,200,0.00543678
200,57560600,0,297952696,1.10444,200,0.00575606
201,47968200,0,304771518,1.12412,200,0.00479682
202,56905100,0,311777988,1.1443,200,0.00569051
203,63887700,0,318805507,1.16436,200,0.00638877
204,56260000,0,325861385,1.18432,200,0.005626
205,56791800,0,332548000,1.20276,200,0.00567918
206,58747600,0,205492113,0.739631,200,0.00587476
207,56705300,0,211192215,0.756493,200,0.00567053
208,53263300,0,216916893,0.773281,200,0.00532633
209,59470100,0,222665948,0.789996,200,0.00594701
210,77820200,0,228439522,0.806638,200,0.00778202
211,57765500,0,234237928,0.823212,200,0.00577655
212,56307100,0,240061223,0.839716,200,0.00563071
213,58721700,0,245908269,0.856149,200,0.00587217
214,59970200,0,251779891,0.872515,200,0.00599702
215,61950600,0,257676537,0.888815,200,0.00619506
216,52826700,0,264666623,0.908719,200,0.00528267
217,60254600,0,271878149,0.929197,200,0.00602546
218,69188600,0,279274308,0.950117,200,0.00691886
219,57812200,0,286534986,0.970387,200,0.00578122
220,68643000,0,293820496,0.990558,200,0.0068643
221,65654100,0,301290895,1.01117,200,0.00656541
222,61553400,0,308822165,1.0318,200,0.00615534
223,64248500,0,316177051,1.05165,200,0.00642485
224,66432400,0,323724051,1.07197,200,0.00664324
225,81752500,0,331324441,1.09228,200,0.00817525
226,101828000,0,338757151,1.11187,200,0.0101828
227,57689900,0,179746007,0.587374,200,0.00576899
228,56474400,0,211913857,0.689468,200,0.00564744
229,67591400,0,218154631,0.706686,200,0.00675914
230,56946300,0,224420038,0.723835,200,0.00569463
231,59413800,0,230709196,0.740913,200,0.00594138
232,56075100,0,237023442,0.757924,200,0.00560751
233,51682200,0,243362634,0.774869,200,0.00516822
234,52067000,0,249726544,0.791748,200,0.0052067
235,52730800,0,256115286,0.808563,200,0.00527308
236,55289400,0,262528917,0.825313,200,0.00552894
237,45377700,0,268966555,0.841999,200,0.00453777
238,57999400,0,275429537,0.858623,200,0.00579994
239,61198700,0,281917920,0.875188,200,0.00611987
240,57037500,0,288429798,0.891689,200,0.00570375
241,59455400,0,294965740,0.908126,200,0.00594554
242,65652500,0,301526454,0.924505,200,0.00656525
243,54885300,0,309372860,0.944675,200,0.00548853
244,64811900,0,317440450,0.965353,200,0.00648119
245,64326300,0,325500161,0.985839,200,0.00643263
246,73004600,0,333615367,1.00633,200,0.00730046
247,88121300,0,341947661,1.0273,200,0.00881213
248,64531000,0,350111564,1.0476,200,0.0064531
249,77050000,0,358656338,1.06888,200,0.007705
250,205482400,0,497248596,1.47601,200,0.02054824
251,28829700,0,498544332,1.47399,200,0.00288297
252,34287900,0,500025298,1.47252,200,0.00342879
253,34763500,0,501535704,1.47115,200,0.00347635
254,31077000,0,502875102,1.4693,200,0.0031077
255,27727400,0,504465437,1.46819,200,0.00277274
256,30657300,0,506048035,1.46706,200,0.00306573
257,28947500,0,507463721,1.46546,200,0.00289475
258,32162500,0,509134383,1.46461,200,0.00321625
259,28966900,0,510601070,1.46318,200,0.00289669
260,25561000,0,512478324,1.46294,200,0.0025561
261,27551500,0,514192506,1.46223,200,0.00275515
262,31652700,0,515928192,1.46158,200,0.00316527
263,42909100,0,517529930,1.46057,200,0.00429091
264,42446200,0,520025424,1.46207,200,0.00424462
265,33475100,0,522784086,1.4643,200,0.00334751
266,35890300,0,525723740,1.46702,200,0.00358903
267,38654900,0,359617834,0.999762,200,0.00386549
268,37182900,0,361313840,1.00074,200,0.00371829
269,32586000,0,363260214,1.00241,200,0.0032586
270,41744400,0,365199164,1.00404,200,0.00417444
271,34854700,0,366971259,1.0052,200,0.00348547
272,31210800,0,368801409,1.00651,200,0.00312108
273,35772100,0,370771591,1.0082,200,0.00357721
274,36874000,0,372726413,1.00983,200,0.0036874
275,43773200,0,375009797,1.01233,200,0.00437732
276,34549300,0,376843531,1.01361,200,0.00345493
277,39614500,0,379046673,1.01587,200,0.00396145
278,31809100,0,381099287,1.01771,200,0.00318091
279,32451600,0,383316822,1.01998,200,0.00324516
280,32347800,0,385596764,1.02239,200,0.00323478
281,41814300,0,387725922,1.02439,200,0.00418143
282,38413800,0,390191777,1.02726,200,0.00384138
283,35523200,0,392371623,1.02936,200,0.00355232
284,36269000,0,394715565,1.03188,200,0.0036269
285,37051400,0,396949797,1.03409,200,0.00370514
286,49107900,0,399377451,1.03679,200,0.00491079
287,40469000,0,401830705,1.03954,200,0.0040469
288,35651900,0,404108400,1.04181,200,0.00356519
289,36499500,0,406612342,1.04465,200,0.00364995
290,37677600,0,408973692,1.04711,200,0.00376776
291,33756500,0,411356091,1.0496,200,0.00337565
292,38237000,0,413735361,1.05207,200,0.0038237
293,41127100,0,416340679,1.0551,200,0.00411271
294,52616500,0,419266794,1.05891,200,0.00526165
295,39321900,0,422381467,1.06317,200,0.00393219
296,41116000,0,425775009,1.0681,200,0.0041116
297,39376800,0,238486174,0.596262,200,0.00393768
298,32220600,0,241024676,0.600593,200,0.00322206
299,34209800,0,243617194,0.60503,200,0.00342098
300,41584000,0,206763827,0.511798,200,0.0041584
301,39072300,0,208583737,0.514593,200,0.00390723
302,35056800,0,210428991,0.517432,200,0.00350568
303,34233500,0,212299959,0.520315,200,0.00342335
304,31332200,0,214196157,0.523241,200,0.00313322
305,36000000,0,216117443,0.526209,200,0.0036
306,31631400,0,218063874,0.529219,200,0.00316314
307,31594400,0,220035592,0.53227,200,0.00315944
308,30640300,0,222032654,0.535363,200,0.00306403
309,47661500,0,224055373,0.538498,200,0.00476615
310,51778500,0,226103379,0.541672,200,0.00517785
311,34428100,0,228176729,0.544888,200,0.00344281
312,36487000,0,230275793,0.548143,200,0.0036487
313,31348900,0,232400087,0.551438,200,0.00313489
314,36519300,0,234549469,0.554771,200,0.00365193
315,37720200,0,236723996,0.558143,200,0.00377202
316,37659200,0,238923810,0.561552,200,0.00376592
317,33447700,0,241148968,0.565,200,0.00334477
318,33088000,0,243399783,0.568486,200,0.0033088
319,48183400,0,245676141,0.572009,200,0.00481834
320,40310300,0,247976819,0.575567,200,0.00403103
321,66224400,0,250302756,0.579162,200,0.00662244
322,65643200,0,253935658,0.585749,200,0.00656432
323,44369800,0,257204784,0.591458,200,0.00443698
324,39771600,0,260823151,0.597933,200,0.00397716
325,40301900,0,264007797,0.603378,200,0.00403019
326,49375800,0,267540859,0.609582,200,0.00493758
327,37809200,0,270775738,0.615072,200,0.00378092
328,43633900,0,274228160,0.621021,200,0.00436339
329,41913200,0,277639367,0.626841,200,0.00419132
330,40755800,0,226263224,0.509303,200,0.00407558
331,38501900,0,228839870,0.513551,200,0.00385019
332,34614000,0,231441092,0.517829,200,0.0034614
333,40826200,0,234067459,0.522137,200,0.00408262
334,39293600,0,236719113,0.526476,200,0.00392936
335,53020900,0,239395599,0.530844,200,0.00530209
336,77270600,0,242097230,0.535242,200,0.00772706
337,42086400,0,244823636,0.539668,200,0.00420864
338,42229400,0,247574874,0.544123,200,0.00422294
339,51927000,0,250351570,0.548607,200,0.0051927
340,40482200,0,253152984,0.553119,200,0.00404822
341,70206200,0,255979230,0.557659,200,0.00702062
342,49257000,0,258830877,0.562228,200,0.0049257
343,47186300,0,261707555,0.566824,200,0.00471863
344,56303500,0,264609577,0.571448,200,0.00563035
